?cls	?xref
<http://purl.obolibrary.org/obo/ZFA_0009332>	"CL:0000786"
<http://purl.obolibrary.org/obo/ZFA_0009332>	"TAO:0009332"
<http://purl.obolibrary.org/obo/ZFA_0001719>	"ZFA:0002231"
<http://purl.obolibrary.org/obo/ZFA_0001719>	"TAO:0002231"
<http://purl.obolibrary.org/obo/ZFA_0009079>	"TAO:0009079"
<http://purl.obolibrary.org/obo/ZFA_0009079>	"CL:0000132"
<http://purl.obolibrary.org/obo/ZFA_0005383>	"TAO:0005383"
<http://purl.obolibrary.org/obo/ZFA_0000929>	"TAO:0000929"
<http://purl.obolibrary.org/obo/ZFA_0000778>	"CL:0005000"
<http://purl.obolibrary.org/obo/ZFA_0000778>	"TAO:0000778"
<http://purl.obolibrary.org/obo/ZFA_0001365>	"TAO:0001365"
<http://purl.obolibrary.org/obo/ZFA_0005397>	"TAO:0002010"
<http://purl.obolibrary.org/obo/ZFA_0000215>	"TAO:0000215"
<http://purl.obolibrary.org/obo/ZFA_0000585>	"TAO:0000585"
<http://purl.obolibrary.org/obo/ZFA_0000411>	"TAO:0000411"
<http://purl.obolibrary.org/obo/ZFA_0001421>	"TAO:0001421"
<http://purl.obolibrary.org/obo/ZFA_0001602>	"TAO:0001548"
<http://purl.obolibrary.org/obo/ZFA_0000726>	"TAO:0000726"
<http://purl.obolibrary.org/obo/ZFA_0001005>	"TAO:0001005"
<http://purl.obolibrary.org/obo/ZFA_0005265>	"TAO:0001827"
<http://purl.obolibrary.org/obo/ZFA_0005092>	"TAO:0005092"
<http://purl.obolibrary.org/obo/ZFA_0000695>	"TAO:0000695"
<http://purl.obolibrary.org/obo/ZFA_0005776>	"CL:0011102"
<http://purl.obolibrary.org/obo/ZFA_0001704>	"TAO:0002242"
<http://purl.obolibrary.org/obo/ZFA_0001531>	"TAO:0001531"
<http://purl.obolibrary.org/obo/ZFA_0005008>	"TAO:0005008"
<http://purl.obolibrary.org/obo/ZFA_0000836>	"TAO:0000836"
<http://purl.obolibrary.org/obo/ZFA_0001698>	"TAO:0002175"
<http://purl.obolibrary.org/obo/ZFA_0001268>	"TAO:0001268"
<http://purl.obolibrary.org/obo/ZFA_0000488>	"TAO:0000488"
<http://purl.obolibrary.org/obo/ZFA_0000604>	"TAO:0000604"
<http://purl.obolibrary.org/obo/ZFA_0000999>	"TAO:0000999"
<http://purl.obolibrary.org/obo/ZFA_0000363>	"TAO:0000363"
<http://purl.obolibrary.org/obo/ZFA_0005223>	"TAO:0005223"
<http://purl.obolibrary.org/obo/ZFA_0005050>	"TAO:0005050"
<http://purl.obolibrary.org/obo/ZFA_0000106>	"TAO:0000106"
<http://purl.obolibrary.org/obo/ZFA_0000096>	"TAO:0000096"
<http://purl.obolibrary.org/obo/ZFA_0000598>	"TAO:0000598"
<http://purl.obolibrary.org/obo/ZFA_0009393>	"CL:0005020"
<http://purl.obolibrary.org/obo/ZFA_0005333>	"TAO:0005333"
<http://purl.obolibrary.org/obo/ZFA_0000035>	"TAO:0000035"
<http://purl.obolibrary.org/obo/ZFA_0000867>	"TAO:0000867"
<http://purl.obolibrary.org/obo/ZFA_0001241>	"TAO:0001241"
<http://purl.obolibrary.org/obo/ZFA_0005486>	"TAO:0001803"
<http://purl.obolibrary.org/obo/ZFA_0009256>	"CL:0000562"
<http://purl.obolibrary.org/obo/ZFA_0009256>	"TAO:0009256"
<http://purl.obolibrary.org/obo/ZFA_0009065>	"CL:0000115"
<http://purl.obolibrary.org/obo/ZFA_0009065>	"TAO:0009065"
<http://purl.obolibrary.org/obo/ZFA_0001280>	"TAO:0001280"
<http://purl.obolibrary.org/obo/ZFA_0005596>	"TAO:0002278"
<http://purl.obolibrary.org/obo/ZFA_0001524>	"TAO:0001524"
